target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
elbow grease	Hard physical work, especially scrubbing or cleaning.	A lubricant or oil put on the joint of an arm.	In the sentence, 'After a long day supporting herself with her arms, she applied some elbow grease to soothe her dry, cracked skin,' the phrase 'elbow grease' seems to refer to some kind of substance applied to the skin. This does not align with the idiomatic usage of describing hard work.	In this context, 'elbow grease' seems to be used literally to describe a salve or cream that the woman applies to her skin. Given the surrounding context about dry and cracked skin, this meaning is likely.	literal
night owl	A person who is habitually active or wakeful at night.	An owl that is active during the night.	In the sentence, 'The photographer stayed up until midnight to capture a perfect shot of the elusive night owl,' the phrase 'night owl' appears to be used in reference to an actual owl, instead of the idiomatic usage which refers to a person.	'Night owl' in this sentence references an actual owl that the photographer is trying to capture in a photograph. The context does not suggest any human behavior or habits that align with the idiomatic meaning of the term.	literal
heart of gold	Incredibly generous and kind nature.	A heart made out of gold, an actual organ or object.	In the sentence, 'Among the museum's rarest items they found a priceless heart of gold, gleaming under the soft lights,' the phrase 'heart of gold' is described as a physical object in a museum, suggesting its literal meaning.	'Heart of gold' in this sentence refers to a tangible item made out of gold found in the museum. The context doesn't suggest it refers to a person with a very kind and generous nature.	literal
agony aunt	A person offering advice in an agony column of a magazine or newspaper.	An aunt who is in agony or causing agony.	In the sentence, 'The agony aunt crawls the ruins of the city with her nieces, harvesting the pain and suffering of the souls trapped there,' the phrase 'agony aunt' appears to be used in its literal sense, referring to an aunt character who is linked with pain and suffering.	Here, 'agony aunt' refers to a literal person, an aunt, who is associated with agony - she is 'harvesting pain and suffering'. This use contrasts with the idiomatic usage of a mediator or advice giver in a newspaper column.	literal
shrinking violet	A shy or modest person who avoids attention.	A violet flower that is shrinking or becoming smaller.	In the sentence, 'In her garden, she noticed a shrinking violet that seemed to be suffering from the lack of sunlight,' the phrase 'shrinking violet' refers to an actual violet flower in the garden that appears to be diminishing in size.	'Shrinking violet' in this sentence literally refers to a violet flower in her garden that is shrinking because it lacks sunlight. The context doesn't suggest it refers to a person who is shy or modest.	literal
green fingers	A natural ability to grow plants and gardens successfully.	Fingers that are green in color.	In the sentence, 'The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions,' the term 'green fingers' is used in a gardening context, aligning with its idiomatic usage.	'Green fingers' in this sentence refers to the children's natural abilities or skills in growing plants in their school's vegetable plot. There is no mention or implication of their fingers being literally green in color.	idiomatic
ancient history	Something that occurred a long time ago and is no longer important or relevant.	The history of ancient times or societies.	In the sentence, 'Lyn says that her relationship with Paul is ancient history, but Steph thinks that she should go and see him to give him a chance to apologise,' the phrase 'ancient history' is applied to a past relationship, suggesting the idiomatic use of old, irrelevant information.	'Ancient history' in this sentence underlines the idea that Lyn considers her past relationship with Paul to be over and irrelevant, which aligns with the idiomatic meaning. There is no suggestion of literal history in ancient times.	idiomatic
banana republic	A politically unstable country that is economically dependent upon the exportation of a limited-resource product.	A republic that produces or is associated with bananas.	In the sentence, 'Your fruit kingdom can become an apple empire, banana republic or strawberry theocracy, with unique development options for each,' the term 'banana republic' is used to refer to a type of fruit-based entity that can evolve from the figurative 'fruit kingdom'. The other entities listed (apple empire, strawberry theocracy) suggest a literal association with different fruits, rather than the idiomatic usage concerning politically unstable countries.	'Banana republic' in this sentence appears to be part of a playful, literal enumeration of types of 'fruit kingdoms', as opposed to the idiomatic usage referring to a politically unstable, economically dependent country. The mention of distinct development options for these oddly named entities fortifies the literal interpretation.	literal
devil's advocate	A person who expresses a contentious opinion in order to provoke debate or test the strength of the opposing arguments.	An advocate or supporter of the devil, typically in a religious or moral context.	In the sentence, 'I do advise them on ideas for content, she said, 'and play devil's advocate to make sure that their story ideas are solid and they have a plan for a good angle and reporting.'', the term 'devil's advocate' is used in a context that aligns with the idiomatic usage. The speaker describes a process of challenging ideas to strengthen them, a typical function of 'playing devil's advocate'.	Here, 'devil's advocate' describes the speaker's role in challenging or questioning the story ideas, to ensure they are well-developed and solid. This aligns with the idiomatic interpretation of someone who expresses potentially contrary points of view for the purpose of stimulating debate or refining arguments. The context does not hint at a literal support of a devilish entity.	idiomatic
private eye	A private investigator or detective.	An eye that is private or kept hidden from view.	In the sentence, 'The actor insists on wearing contacts at all times to keep his private eye from the public gaze; paranoia, or sensible caution in the age of biometrics?', the term 'private eye' appears to refer to the actor's actual eye, which he wants to protect from public view. This usage suggests a literal interpretation of an eye that is private or hidden.	'Private eye' in this sentence refers to the actor's actual eye that he tries to hide by wearing contacts. This literal use contrasts with the idiomatic usage referring to a private investigator.	literal
