target_phrase,sense,definition
elbow grease,literal,An idiom indicating the use of physical effort or hard work.
night owl,literal,A term used to describe a person who tends to stay up and be active late into the night.
heart of gold,literal,"An idiom describing a person who is kind, generous, or compassionate."
agony aunt,literal,"A person, traditionally a woman, who gives advice to people, especially through a newspaper column."
shrinking violet,literal,An idiom describing a shy or modest individual who avoids attention.
green fingers,idiomatic,An idiom describing a person who is good at gardening and making plants grow.
ancient history,idiomatic,"A term used to refer to events that happened in the distant past, often implying they are no longer relevant."
banana republic,literal,"A small country that is politically unstable, especially a Central or South American country with a struggling economy, usually reliant on a single export."
devil's advocate,idiomatic,"Someone who argues or takes a position for the sake of argument or to explore the thought further, even though they may not necessarily support that position."
private eye,literal,A private investigator or detective.
pipe dream,literal,"A plan, goal, or project that is generally considered unattainable or fanciful."
piece of cake,idiomatic,An idiom meaning something that is easy or simple.
rocket science,literal,The science of designing or building rockets.
brass ring,idiomatic,"A phrase referring to striving for the highest prize, or a valuable opportunity for which competition is intense."
apples and oranges,idiomatic,A phrase meaning two things that are incomparable or fundamentally different.
nest egg,literal,An amount of money saved for the future.
ghost town,idiomatic,"A village, town, or city that has been abandoned, usually because the economic activities that supported it have failed."
bull market,literal,"A market in which share prices are rising, encouraging buying."
beached whale,literal,A whale that has stranded itself on land.
flower child,idiomatic,"A person, especially a hippie of the 1960s, advocating love, peace, and simple, idealistic values."
copy cat,idiomatic,"someone who imitates or mimics another's behavior, style, or actions"
lounge lizard,literal,a type of lizard that spends much time in a lounging position
secret santa,idiomatic,a tradition where members of a group anonymously give gifts to each other
dirty word,idiomatic,"a term or topic that is considered offensive, unpleasant, or taboo"
close shave,idiomatic,a situation in which one barely avoids a dangerous or unpleasant outcome
donkey work,idiomatic,"uninteresting, difficult, or hard work that is often seen as beneath one's dignity"
bear market,literal,"a market in which prices are falling, encouraging selling"
top dog,idiomatic,a person who is the most successful or dominant in a particular area
dog's dinner,idiomatic,something that is messy or done badly
white hat,literal,a hat that is white in color
smoking gun,literal,a gun that is emitting smoke because it has just been fired
old flame,literal,a flame that has been burning for a long time
zebra crossing,idiomatic,"a type of pedestrian crossing marked by black and white stripes, like a zebra's coat"
eye candy,idiomatic,something or someone who is visually attractive or pleasing to look at
ivory tower,literal,a tower made out of ivory
black sheep,literal,a sheep with black wool
armchair critic,idiomatic,a person who gives opinions or judgments about things they are not actively involved in
gravy train,literal,a train that transports gravy
rat race,literal,"a competitive struggle for success or survival, often associated with city or urban living"
hot potato,idiomatic,a controversial issue or situation which is embarrassing or difficult to handle
spring chicken,literal,"A young chicken, especially suitable for cooking and eating"
love triangle,idiomatic,"A complicated romantic situation involving three people, each of whom loves at least one of the others"
black box,idiomatic,"Something complex, mysterious or secretive, the internal workings of which are not understood by or accessible to others"
hen party,idiomatic,"A party given for a woman who is about to get married, attended by women only"
acid test,idiomatic,A definitive test that demonstrates whether or not something is genuine or accurate
inner circle,literal,The smaller circle that is contained by another circle in a diagram
bad apple,literal,An apple that has rotten
honey trap,literal,A trap which contains honey as a bait
pins and needles,idiomatic,A tingling sensation in a limb recovering from numbness
bun in the oven,idiomatic,To be pregnant
loan shark,idiomatic,Someone who lends money at exorbitant rates
open book,literal,A book that is physically open
baby blues,literal,"The colour of eyes in a baby, typically a shade of blue"
silver bullet,idiomatic,A simple and seemingly magical solution to a complicated problem
brain surgery,literal,A medical operation performed on the brain
red flag,literal,A flag of red colour
white elephant,literal,An elephant that is white in colour
two-way street,idiomatic,A situation or relationship where both parties must put in equal effort or cooperation
rat run,literal,"Pathway taken by a rat, typically in a maze"
graveyard shift,idiomatic,The period of work schedule that runs through the late night or early morning hours
dirty money,literal,Cash earned through illegal activities
high life,literal,A lifestyle of affluence and indulgence
pain in the neck,idiomatic,An irritating or troubling person or thing
guinea pig,literal,A small domesticated rodent often kept as a pet or used for scientific research
