target_phrase,explanation,literal_definition,potential_definition_1,potential_definition_2,potential_definition_3,result
elbow grease,"This idiom is often used in the context of doing physical or manual work. It evokes images of hard, physical labor where sweat, and thus 'grease,' might come from one's elbows.",The nonexistent greasy substance that would come from one's elbow.,"Working really hard, usually with your hands.",Putting a lot of physical effort into a job.,Hard physical effort needed to get something done.,Putting a lot of physical effort into a job.
night owl,This idiom is used to describe people who prefer to stay awake and active during nighttime rather than daytime. The name 'night owl' evokes an owl's nocturnal habits.,An owl that is active during the night.,A person who likes to stay up late.,Someone who is most active and alert at night.,A person who's more productive during the night hours.,Someone who is most active and alert at night.
heart of gold,"This idiom is used to describe a person who is genuinely kind, generous, or sympathetic. The phrase 'heart of gold' brings to mind preciousness, rarity and high value because gold is a valuable metal.",A heart made from the precious element of gold.,A person who's really kind and caring.,"Someone generous, kind, and good-hearted.",An individual who's extremely kind and sympathetic towards others.,An individual who's extremely kind and sympathetic towards others.
agony aunt,"The term 'agony aunt' is used to describe a person who offers advice to others, particularly through a public medium such as a newspaper column or a TV show. It's not necessarily related to the person being an actual aunt, the term 'aunt' here gives a sense of familiarity and trustworthiness.",An aunt who is in a state of extreme physical or mental suffering.,A person who gives advice to people who are troubled.,Someone who helps others by giving advice about problems.,"An advice giver, often for personal or emotional issues.","An advice giver, often for personal or emotional issues."
shrinking violet,"This idiom is used to describe a person who is shy or modest and doesn't seek out attention. The image of a 'shrinking violet' evokes the small, quiet flower that doesn't make a grand display.",A Violet flower that is becoming smaller.,A very shy person who avoids being noticed.,Someone who is modest and tries to avoid the spotlight.,A person who is quiet and avoids drawing attention to themselves.,A very shy person who avoids being noticed.
green fingers,"This idiom characterizes someone with a knack for gardening or growing plants effectively. It evokes images of nature, growth, nurturing, and proficiency in a somewhat specialized skill.","The digits of one's hand, colored green.",A natural talent for making plants grow well.,A person with a special skill in gardening.,A knack for taking care of plants and gardens.,A person with a special skill in gardening.
ancient history,"Refers to events or situations that are long past and considered irrelevant in the present context. Inspires feelings of nostalgia, irrelevance, disdain for the past, or a choice to move on.",The study of history from the earliest times to the fall of the Roman Empire.,Something old and no longer important.,Old news that doesn't matter anymore.,A situation or detail that's no longer relevant.,Old news that doesn't matter anymore.
banana republic,"A derogatory term describing a country, typically small and politically unstable, with a one-crop economy. It conjures images of exploitation by foreign corporations, lack of democracy, and economic instability.",A republic whose main product is bananas.,A small country that's unstable and unfairly dominated by foreign companies.,A shaky country controlled mainly by a single crop economy.,An unstable nation heavily reliant on one resource for its economy.,A small country that's unstable and unfairly dominated by foreign companies.
devil's advocate,"Refers to someone who, for the sake of argument or exploration, takes a position they do not necessarily agree with. It evokes a sense of discussion, challenging norms, and critical thinking.",An advocate representing the devil.,Someone who argues the opposite side just to challenge ideas.,A person who debates for a viewpoint they don't actually support.,One who presents opposing arguments for the sake of debate.,Someone who argues the opposite side just to challenge ideas.
private eye,"Refers to a private detective hired to carry out investigations, usually those that which are considered too delicate for the police to handle. It evokes concepts of covert operations, spying, and seeking the truth.",A person's eye that is personal or private.,A detective who is hired to solve tricky problems.,A person hired to dig up secrets and find the truth.,A professional who investigates delicate matters privately.,A person hired to dig up secrets and find the truth.
pipe dream,"The term 'pipe dream' conveys a sense of extreme unlikelihood, fantasy, or impracticality. It is usually associated with goals or ambitions that are perceived as unachievable or unrealistic.",A dream or fantasy experienced while smoking from a pipe.,A goal or desire that's probably too crazy to ever happen.,"An unrealistic hope or fantasy, a dream that's too big for reality.",An ambition that's seen as unlikely to ever become true due to real-world limitations.,A goal or desire that's probably too crazy to ever happen.
piece of cake,This idiom carries the connotation of ease and simplicity. It is commonly used to describe a task or challenge that is straightforward or easily accomplished.,A portion of cake cut from the whole.,Something super easy to do or complete.,A simple task that needs little effort.,An action or job that doesn't require much work or struggle to achieve.,Something super easy to do or complete.
rocket science,'Rocket science' is often used to describe something very complex and difficult to understand. It carries the connotation of expertise and high levels of knowledge and aptitude.,The science involved in the designing and building of rockets.,A difficult task or subject that's super hard to understand or do.,Something that requires a lot of brains or advanced skills to figure out.,A complex problem or topic that's tricky to grasp without serious know-how.,A difficult task or subject that's super hard to understand or do.
brass ring,"The 'brass ring' refers to a prized goal or reward. It evokes a sense of competition, achievement, as well as the joy and fulfillment of attaining a valued objective.","A large, brass, circular object.",A valuable prize or reward that everyone wants to grab.,An important goal or success that people aim for.,A shiny achievement or target that's worth the effort of reaching it.,A valuable prize or reward that everyone wants to grab.
apples and oranges,'Apples and oranges' is used to describe two things that are fundamentally different and shouldn't be compared. It suggests a degree of incompatibility and incongruence between the two components.,Two types of fruit: apples and oranges.,Two things that are totally different and can't be compared.,Comparing stuff that doesn't sync or match up because they are too different.,Things so different from each other that it doesn't make sense to compare them.,Two things that are totally different and can't be compared.
nest egg,"Refers to a sum of money saved for the future. It carries connotations of security, safety, foresight, and the general sense of 'preparing for a rainy day.'",An egg in a nest which can potentially hatch into a bird.,Money you save carefully so you will have enough for the future.,Cash put aside for a future need or retirement.,Funds saved up for emergency or use in the later part of life.,Money you save carefully so you will have enough for the future
ghost town,"Refers to a once-busy or populated place that is now abandoned or empty. Evokes feelings of loneliness, desolation, and the passage of time.",A town inhabited entirely by ghosts.,An empty place that used to be full of life and people.,A place that was once busy but is now abandoned.,A deserted place with no activity or people.,A place that was once busy but is now abandoned.
bull market,"Refers to a financial market in which prices are rising or expected to rise. It conveys positivity, optimism, and the potential for financial gain. The term is most commonly used in relation to the stock market.",A marketplace for selling and buying bulls.,A situation where prices are going up in the stock market.,When stock prices are increasing or expected to increase.,A financial market where things are on the upswing.,A situation where prices are going up in the stock market.
beached whale,"Used to describe someone or something that is helplessly stranded or in a situation they can't get out of. It evokes a sense of helplessness, desperation, and being out of place.","A whale that is out of water, stranded on a beach.",A person who is stuck in a situation they can't get out of.,"Someone helpless, trapped in a place or situation not meant for them.",A person or thing stuck in a situation without a way out.,A person who is stuck in a situation they can't get out of.
flower child,"This term originates from the hippie era and refers to a person who is free spirited, non-violent, and against consumerism, often with an intense love for nature. It brings about connotations associated with peace, harmony, freedom, and an acute social consciousness.","A child made of flowers, or a child who carries or is associated with flowers.",A peace-loving person who is free-spirited and against violence.,Someone in love with nature and against materialistic lifestyle.,"A person who believes in peace, freedom, and non-violence.",A peace-loving person who is free-spirited and against violence.
copy cat,"Implies a person who copies, mimics, or follows the behavior, style or actions of another. Can carry a sense of childishness, annoyance, or lack of originality.",A cat that duplicates or replicates the actions of another cat.,"Someone who copies others’ actions, styles, or ideas.",A person who duplicates behavior or characteristics of another.,An individual mimicking others rather than being original.,"Someone who copies others’ actions, styles, or ideas."
lounge lizard,"This refers to a man who spends a lot of time in places of social gathering, often trying to seduce women. The phrase can evoke images of laziness, creepiness, or untrustworthiness.","A reptile, specifically a lizard, that spends time in a lounge.","A man who often hangs out at social gatherings, flirting with women.","A man often seen in bars or clubs, trying to seduce women.","A man spending much time in social places, often intriguing women.","A man who often hangs out at social gatherings, flirting with women."
secret santa,"Refers to a group gift-exchange game where each participant is assigned another person to secretly give a gift. Connotations include surprise, holiday spirit, and community bonding.",A Santa Claus who operates in secret.,A game where people exchange gifts secretly in a group.,A group activity where each person secretly gives a gift to someone else.,A festive tradition of giving anonymous presents in a group.,A game where people exchange gifts secretly in a group.
dirty word,"Refers to a term or topic that's considered offensive, taboo, controversial, or unacceptable to say openly. It can evoke discomfort, censorship, or social inappropriateness.",A word that is literally unclean or soiled.,Term or topic that's offensive or taboo to talk about.,A controversial topic or term considered inappropriate to mention.,Word or topic people avoid mentioning because it is offensive.,Term or topic that's offensive or taboo to talk about.
close shave,"Represents a situation where a person comes very near to a disastrous or dangerous outcome, but narrowly avoids it. Conveys relief, near misses, and danger narrowly averted.",A shave where the razor is brought very close to the skin.,Barely escaping from a risky or dangerous situation.,Just managing to avoid a harmful or serious incident.,Narrowly avoiding a disaster or calamity.,Barely escaping from a risky or dangerous situation.
donkey work,"Refers to hard, monotonous, or unglamorous work, often the kind of routine, unappreciated tasks someone has to do. Evokes burdensome but necessary tasks.","Work done by a donkey, generally carrying heavy loads over long distances.",Tedious or boring jobs that still need to be done.,"Hard, thankless tasks that most people don't want to do.",Routine work that is tiring but essential.,Tedious or boring jobs that still need to be done.
bear market,"Represents a condition in a financial market where prices are falling, encouraging selling. Conjures up a sense of pessimism or negative outlook in investing.",A market connected with or affected by bears.,A financial trend where prices are dropping fast.,A tough economy where investors are losing money.,Time in the stock market when plenty of people are selling.,A financial trend where prices are dropping fast.
top dog,"Describes a person, group, or entity in an authoritative and often dominating position. It carries connotations of leadership, dominance, and superiority.","The dog that is at the top, often meaning physically superior or dominant.",The person in charge with the most power or influence.,Someone who dominates others and gets their way.,The leader or most important person in a group or situation.,The person in charge with the most power or influence.
dog's dinner,"Refers to something that is chaotic, disordered, or messy. It has a negative connotation of disorderliness, sloppiness, and often failure.","A meal served to a dog, typically composed of various scraps or leftovers.",A situation or thing that's a total mess.,A task or job that's been done very badly.,Something that's disordered and looks horrible.,A situation or thing that's a total mess.
white hat,"Represents an ethical computer hacker, or a computer security expert who breaks into protected systems and networks to test and asses their security. The connotations are positive, suggesting nobility, honor, and righteousness.",A hat that is white.,A person who uses hacking skills for good reasons.,A computer security expert who helps protect systems.,A hacker who breaks into networks to make them safe.,A person who uses hacking skills for good reasons.
smoking gun,"Refers to a piece of concrete, undeniable evidence that implicates someone in a wrongdoing. It evokes images of a crime scene where the perpetrator left behind a firearm still smoking from recent use.",A gun that is still emitting smoke because it's recently been fired.,A clear sign proving someone's guilt in a bad situation.,Undeniable proof showing who caused a problem.,A strong piece of evidence that shows wrongdoing.,Undeniable proof showing who caused a problem.
old flame,"Refers to a person with whom one had a past romantic or sexual relationship. The term evokes a sense of nostalgia and warmth associated with past love, but also the potential for rekindling or associated drama.",A fire that has been burning for a long time.,A sweetheart from the past who you once had feelings for.,A previous love or romantic partner.,Someone you used to have strong feelings for in a romantic way.,A sweetheart from the past who you once had feelings for.
zebra crossing,A pedestrian crosswalk marked with contrasting light and dark stripes that resemble a zebra's pattern. It signifies safety for pedestrians crossing the streets and the obligation of drivers to stop.,"A road section designated for pedestrians to cross, painted in white and black stripes.",A striped path where people can carefully walk across the road.,A marked place where pedestrians can cross the street safely.,Pedestrian crossing painted like a zebra for people to walk across.,A marked place where pedestrians can cross the street safely.
eye candy,"Used to describe someone or something that is visually attractive or pleasing to view, usually with no other gain. This term carries a connotation of lush, easy enjoyment and superficiality.","Candy for the eyes, if such a thing could exist.",Someone who's really nice to look at but may not have much depth.,A person or thing that is visually attractive but not substantive.,Something superficially attractive that provides visual enjoyment.,Someone who's really nice to look at but may not have much depth.
ivory tower,"Represents a person or institution insulated or isolated from practical realities, usually in academia or literature. The phrase conveys a sense of being disconnected from the real world, often seen as too theoretical or abstract. It may induce a feeling of elitism and inaccessibility.","A tower made of ivory, a creamy-white substance that makes up the tusks of elephants.","Being out of touch with reality, usually because of focusing too much on theory.",Isolated from everyday life and filled with intellectual pursuits.,"Disconnection from practical matters, often due to academic or intellectual focus.","Being out of touch with reality, usually because of focusing too much on theory."
black sheep,"Refers to a member of a group, typically a family, who is considered disgraceful or less reputable than the others. Illustrates feelings of isolation, nonconformity, and perhaps rebellion.","A sheep with dark or black wool, differing from the majority of sheep having white wool.",A person who is different and disliked by their family or group.,An unusual or disliked member within a group.,Someone who stands out for bad reasons within a community.,An unusual or disliked member within a group.
armchair critic,"Describes a person who comments or critiques without having any actual involvement or experience in the matter. It highlights judgmental attitudes, often underscored by lack of real risk or consequence.","A person sitting in an armchair, providing criticism.",Someone who judges others without having experience.,A person who criticizes without being involved.,A critic who speaks without knowing much about the topic.,Someone who judges others without having experience.
gravy train,"Refers to a situation or job that produces a large, effortless profit or income. It evokes images of ease, comfort, and wealth, often to the point of excess.","A train transporting gravy, a type of sauce.",A situation that brings a lot of easy money.,A job or source that offers easy wealth.,An easy way to make good money without doing much.,A job or source that offers easy wealth.
rat race,"Describes a relentless, competitive struggle for wealth or power in modern society. It portrays a sense of meaningless hustle and bustle, where individuals are caught in a cycle of pursuing materialistic goals.",A race involving rats competing against each other.,Non-stop competition for success or wealth.,Exhausting race for money and power without end.,Endless and stressful pursuit of success.,Endless and stressful pursuit of success.
hot potato,"Represents an issue or problem which is controversial and difficult to handle. It conveys a sense of urgency, danger, and the need to avoid or delegate responsibility.",A potato that has been heated and is hot to touch.,A difficult issue that people avoid dealing with.,Controversial problem people don't want to handle.,A risky situation people pass on to others to avoid trouble.,A difficult issue that people avoid dealing with.
spring chicken,"The phrase 'spring chicken' refers to a young, vital person, often used ironically or derogatorily about someone who is past their prime. It carries undertones of age, vitality, and playful sarcasm.",A chicken young enough that it was hatched in the spring.,A young person who's full of energy.,"A person, often seen as young and lively.",Somebody considered young and vibrant.,A young person who's full of energy.
love triangle,"'Love triangle' refers to a situation where three people are involved in a romantic relationship, often with jealousy and conflict. It evokes feelings of tension, confusion, and drama.",A geometric shape with three points symbolizing three people connected through love.,Three people linked by conflicting romantic feelings.,A dramatic situation involving love between three people.,A conflict arising from romantic feelings among three individuals.,Three people linked by conflicting romantic feelings.
black box,"A 'black box' pertains to anything mysterious in operations or functions that are unseen or unexplainable. It connotes secrecy, uncertainty, and complexity.","A solid, opaque, typically black box.",Something mysterious or hard to understand.,"A thing that works, but nobody knows why or how.",A system or device with hidden workings.,Something mysterious or hard to understand.
hen party,"A 'hen party' is a pre-wedding celebration hosted for a woman who is about to get married, attended typically by women only. It evokes a sense of merriment, camaraderie, and female bonding.",A gathering or celebration of hens.,"A fun get-together just for women, often before a wedding.",A pre-wedding party for a woman with only female friends.,A celebration where a woman spends time with her female friends before her wedding.,"A fun get-together just for women, often before a wedding."
acid test,"An 'acid test' refers to a crucial examination or test designed to establish the quality or performance of something. Evokes a sense of scrutiny, reliability, and a high standard of proof.",A test using acid to determine the presence or quality of gold.,A severe and important test.,A major test that proves if something is good or true.,A crucial test that determines the worth or quality of something.,A major test that proves if something is good or true.
inner circle,"Refers to an exclusive group at the core of a larger entity that often wields power or influence. Often used in political and business contexts, and carries a sense of elitism, exclusivity, and privileged access to information.",A circle that is inside a larger circle.,A special group with lots of power or important information.,An exclusive club in a larger group that has more influence and power.,The select few who have access to important knowledge or decision-making powers.,The select few who have access to important knowledge or decision-making powers.
bad apple,"Refers to a person who negatively influences or spoils a group. Often used to describe a troublesome or disruptive person within a team, family, or organization. Carries undertones of corruption, negativity, and destruction.",An apple that is rotten or inedible due to defect or disease.,One person who causes problems for everyone else in a group.,An unruly individual who spoils the group's vibe or harmony.,A troublesome person that corrupts or disrupts a group.,One person who causes problems for everyone else in a group.
honey trap,"Refers to a strategic trap that uses allure or temptation to lure someone into a compromising situation. Often used in the context of espionage and detective work. Conveys themes of deception, duplicity, and risk.","A trap that uses honey as bait to attract and capture animals, especially insects.",A deceptive trick that uses attractiveness or charm to trap someone.,Using temptation to catch someone stumbling.,A strategy of luring someone into a dangerous or compromising situation.,A deceptive trick that uses attractiveness or charm to trap someone.
pins and needles,"Describes the feeling of anticipation and anxiety that often accompanies waiting for something important to happen. Brings up feelings of suspense, anxiety, and restlessness.","Sharp, pointed objects used in sewing.",Feeling jittery or uneasy while waiting for something.,Anxious anticipation of a future event.,Being on the edge of your seat because of suspense or anxiety.,Feeling jittery or uneasy while waiting for something.
bun in the oven,"Used as a colloquial and metaphorical way to announce or describe a pregnancy. Connotes anticipation, creation, and nurturing, as well as secrecy or surprise due to its indirect nature.",Having a round-shaped cake or piece of bread inside an oven for baking.,Expecting a baby.,Being pregnant.,"A baby on the way, usually as a surprise.",Expecting a baby.
loan shark,"Refers to someone who offers loans at extremely high interest rates, often exploiting borrowers. This idiom carries negative undertones of financial exploitation and desperation.","A shark that lends items, which is not genuinely possible.",Someone who lends money at crazy-high rates.,A person who finds profit in others' financial struggles,An exploiter offering loans with massive interests.,Someone who lends money at crazy-high rates.
open book,"Describes a person who is easy to understand or predict, their feelings or thoughts are easily perceived. Conjures images of transparency and honesty.",A book that is not closed.,A person whose feelings and thoughts are transparent.,Someone you can easily read and understand.,An individual who hides nothing about themselves.,A person whose feelings and thoughts are transparent.
baby blues,This idiom has two meanings. It can refer to the blue eyes common in young babies. It can also refer to the postpartum depression that some women experience after giving birth.,Blue colors associated with a baby.,Sadness felt by some women after having a baby.,Blue eyes that are usually found in newborns.,Depression linked to giving birth.,Sadness felt by some women after having a baby.
silver bullet,Refers to an effortless solution with extremely high effectiveness. Carries the connotation of wishful thinking as such solutions are typically rare.,A bullet made of silver.,A solution that quickly and completely solves a problem.,An easy answer that fixes everything.,An immediate and highly effective solution.,A solution that quickly and completely solves a problem.
brain surgery,Used sarcastically to denote a simple task that's wrongly made to appear as tough and complicated. Implicates exasperation or disbelief at another's inability or the over-complication of a task.,A medical surgery carried out on the brain.,Something that's really not as hard as others make it seem.,A task made to look more complex than it is.,A simple task that's been compared wrongly to something highly complex.,Something that's really not as hard as others make it seem.
red flag,"Indicates warning signs or issues that demand attention. It carries a negative undertone, suggesting danger, difficulty, or a need for caution.",A flag that is red in color.,A sign of potential trouble or danger.,A cue that something might be wrong.,An indicator of a potential problem or issue.,A sign of potential trouble or danger.
white elephant,Refers to something that's more of a burden or expense to maintain than it's worth. Suggests a possession that's difficult to dispose of and not easy to monetize.,An elephant that has a noticeably lighter skin color than most.,A valuable thing that's more trouble than it's worth.,Something that is costly and difficult to maintain.,A nominal possession that poses more cost than benefit.,A valuable thing that's more trouble than it's worth.
two-way street,"Represents a situation where both parties involved have responsibilities or benefits. Stresses mutual respect, reciprocity, cooperation or has a balanced undertone.",A street where vehicles can travel in both directions.,A situation where both parties have equal duties or benefits.,An interaction with give and take from both sides.,A fair deal where everyone shares responsibilities.,A situation where both parties have equal duties or benefits.
rat run,"Describes an unofficial route typically used to avoid heavy traffic or main roads. Evokes images of cleverness, sneakiness, and efficiency in circumventing obstacles.","The path that rats take to reach a certain destination, usually hidden or indirect.","A clever shortcut used to avoid bigger, busier roads.","An unofficial, quick way to get somewhere, avoiding main routes.",A hidden or lesser-known path used to bypass heavy traffic.,"A clever shortcut used to avoid bigger, busier roads."
