target_phrase,explanation,literal_definition,potential_definition_1,potential_definition_2,potential_definition_3,result
elbow grease,Literal application would involve applying a shiny substance on one’s elbow. Maybe it’s a lotion or balm that moisturizes dry skin or adds gloss to an otherwise matte surface.,"Hard physical work, especially when it involves repeated movements, like scrubbing or polishing.",A lotion or balm used to moisturize or shine an elbow.,A substance applied to an elbow to create a glossy appearance.,A smoothing product used to enhance the look of elbows.,A substance applied to an elbow to create a glossy appearance.
night owl,"A literal interpretation could envision a particular owl that is most active during night, hunting, flying, or singing its hoots in the darkness.",A person who is habitually active or awake in the night.,An owl known for its nighttime activity.,A nocturnal bird of prey that hunts during the night.,An owl that predominantly functions and hunt in the night.,An owl known for its nighttime activity.
heart of gold,"Literally, this would imply a heart made out of precious metal gold. Gold is an expensive material known for its value and purity.","Being exceptionally caring, kind-hearted, and generous.","A heart made entirely out of the precious metal, gold.","A golden heart, referring to the precious metal shaping an organ.","An organ of pure gold, specifically the heart.","A heart made entirely out of the precious metal, gold."
agony aunt,"In the literal sense, this could mean an aunt or aunt-like figure who is in pain or suffering.","A person who gives advice about personal problems, especially a person who does this as a job in a newspaper or on television.",An aunt who is going through some physical or emotional pain.,Your mother's or father's sister who is undergoing some personal distress.,A female relative experiencing suffering or distress.,An aunt who is going through some physical or emotional pain.
shrinking violet,"One could imagine a violet flower physically shrinking, its petals retracting, and the plant seeming smaller or receded overall.",A shy person who tries as much as possible to stay out of public view or attention.,A violet flower that becomes visibly smaller in size.,A violet plant that diminishes in size over time.,"A particular flower, the violet, observed to decrease or withdraw in size.",A violet flower that becomes visibly smaller in size.
green fingers,"When taken literally, 'green fingers' could suggest color changed fingers because of gardening or working with leaves and plants. It can paint a picture of hands actively involved in gardening tasks, immersed in the greenery found in a garden.",An innate skill or passion for gardening and making plants grow well.,Fingers turned green from too much gardening.,Hands that have changed color due to excessive interaction with plants.,Fingers stained green due to frequent dealing with leaves and plants.,Fingers stained green due to frequent dealing with leaves and plants.
ancient history,"The phrase 'ancient history' when interpreted literally could evoke images of old civilizations, historical artefacts, dusty libraries, and long-lost cultures. It refers to time periods from thousands of years ago and historical events of long past.",Something that is so outdated or from so long ago that it's no longer relevant or important.,Time periods and events from thousands of years back.,A study of civilizations and cultures from a very long past.,"Historical details from ancient times, usually irrelevant to the current timeline.",Time periods and events from thousands of years back.
banana republic,"The phrase literally points to a republic or a democratic country involved with extensive banana cultivation. It suggests an agricultural country majorly dealing in banana production — farms, plantations, or markets filled with banana produce.","A small country that is economically dependent on a single export commodity, usually a term used in a derogatory manner.",A country where banana cultivation is its mainstay.,A democratic nation majorly dealing in banana production.,A republic with its economy largely based on the cultivation of bananas.,A country where banana cultivation is its mainstay.
devil's advocate,"By the book, it would suggest an advocate or supporter of the devil. It could potentially point to an individual offering a defense for devil's actions, beliefs, or standpoints.","A person who expresses a controversial or unpopular opinion, with the intention of provoking debate or testing the strength of the opposing arguments.",A defender or supporter of devil's actions or beliefs.,An advocate for the devil.,A person providing support for controversial devilish ideas or suggestions.,A defender or supporter of devil's actions or beliefs.
private eye,"Taken face value, 'private eye' might refer to an individual eye that is personal, hidden or secluded. It could also hint towards the secretive scope of one's visual perception.",A private investigator or a detective who is hired to solve crimes or mysteries.,"An eye that belongs to an individual, hidden or secluded.","A personal, secretive visual perception.","A solitary eye, used for covert observation or scrutiny.","An eye that belongs to an individual, hidden or secluded."
