target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
elbow grease,"Literally, it refers to the sweat produced on the elbow when exerting physical effort in doing hard work.",The physical effort or hard work accompanied by sweating at the elbow.,"['A mechanic vigorously scrubbing the underside of a car, a bead of sweat trickling down his elbow.', 'A construction worker hammering a nail, perspiration evident on his elbow as he applies force.', 'An individual wiping down a dirty window, the elbow glistening with sweat from the effort.', 'A painter covering a large wall with a roller, the elbow wet from the exertion.', 'A baker kneading dough rigorously, the elbow shining with sweat from the hard work.']",Hard work represented by the sweat on the elbow.,Manual labor rendered visible through perspiration on the elbow.,"Both captions accurately depict the literal scenario. The second caption brings more focus on the action being performed physically, capturing the essence of hard work.",Manual labor rendered visible through perspiration on the elbow.
night owl,"Literally, it refers to the owl, a nocturnal bird that hunts and is active during the night.",An owl active in the nighttime.,"['An owl perched on a tree branch, eyes wide, surveying the dark landscape below.', 'A barn owl swooping down in the quiet of a moonlit night to catch its prey.', 'An owl silently gliding through the dark night sky, going about its nocturnal activities.', ""A close up of an owl's face at night, eyes glowing in the dim light."", 'An owl resting in its nocturnal habitat, under the twinkling stars.']",An owl in its nightly activities.,An owl being active under the night sky.,"Both captions describe the literal scenario. The second one emphasizes the owl's activity at night, in line with its nature.",An owl being active under the night sky.
heart of gold,"Literally, it refers to a gold object in the shape of a heart, often symbolizing love and affection.","A gold object, artifact, or piece of jewelry shaped like a heart.","['A closeup of a heart-shaped gold locket lying on a velvet cushion.', 'A gold heart pendant hanging on a delicate chain, glistening in sunlight.', 'A heart made from gold nuggets arranged in the shape on a stone surface.', 'A gold heart-shaped cake decoration placed at the center of a white icing cake.', 'A heart-shaped gold balloon floating in a bright room with a birthday setup.']","An object resembling a heart, made from gold.",A figure of a heart formed with gold.,Both captions depict the literal meaning. The second one succinctly captures the concept of shaping gold into a heart figure.,A figure of a heart formed with gold.
agony aunt,"Literally, it refers to an 'aunt' in a state of intense pain or suffering.",A woman characterized as an aunt experiencing significant distress or discomfort.,"['A woman clutching her forehead in pain, children playing oblivious in the background.', 'A woman depicted as an aunt stepping on a Lego, wincing in pain.', 'An elder woman in agony due to a sudden backache while in a family gathering.', ""An 'Aunt' character in a drama clutching her chest in pain during a performance."", ""A woman groaning in pain as she accidentally hits her pinky toe against the table's edge.""]",A woman depicted as an aunt in a state of distress.,An 'Aunt' character experiencing significant discomfort.,Both illustrate the literal concept. The second caption encapsulates the character and her state of distress succinctly.,An 'Aunt' character experiencing significant discomfort.
shrinking violet,"Literally, it refers to a violet flower that is literally shrinking or diminishing in size.",A violet flower becoming smaller or appearing to retract in size.,"['A time-lapse of a violet flower, previously full bloom, withdrawing and closing its petals.', 'A shrivelled violet flower losing its petals in the autumn season.', 'A violet plant being deprived of water, causing the flowers to shrink and wilt.', 'A close up of a violet blossom closing its petals as dusk falls.', 'A blooming violet flower mechanically altered to imitate shrivelling or shrinking.']",A violet flower visibly reducing in size.,A violet bloom showing signs of shrinking or withering.,"Both captions depict the literal phenomenon. The second caption provides a more complete picture, conveying the shrinking action and the subject which is the violet.",A violet bloom showing signs of shrinking or withering.
green fingers,"Literally, this refers to a person's fingers that are colored green, usually from handling plants or paint.",Having fingers that are visually green in color.,"['An artist at a canvas, their fingers stained with green paint.', 'A gardener tending to plants, green stains from leaves and stems on their fingers.', 'A child with green fingers after playing with green clay or dough.', ""A finger painting activity resulting in a participant's fingers getting green."", 'A kitchen scene where someone is chopping vegetables, their fingers turned green from the vegetables.']",Fingers stained green from various activities.,"Hands busy at work, resulted in green-tinted fingers.","While both captions depict fingers that are green, the second one provides more context, specifying that the fingers turned green through active engagement, which aligns better with all image ideas.","Hands busy at work, resulted in green-tinted fingers."
ancient history,"Literally, this refers to the historical period that is significantly far back in time, particularly the times before the fall of the Western Roman Empire.","A time period from the distant past, generally studied in history.","['An archaeological dig uncovering relics from an ancient civilization.', 'Archival library room containing stacks of old books and parchments about ancient civilizations.', 'A historian giving a lecture on the times of ancient Rome.', 'A museum exhibition of artifacts dating back to the ancient Egyptian civilization.', 'Children visiting a monumental site dating back to ancient times during a field trip.']",Exploring and studying periods from the distant past.,Delving into the vast chapters of ancient history.,"Both captions portray the exploration of ancient times. The second caption, however, specifically calls out ancient history, making it the more precise choice.",Delving into the vast chapters of ancient history.
banana republic,"Literally, this would refer to a representation of a republic symbolized or characterized by bananas. This could be in a symbolic or an artistic context.",A republic signified by the use of bananas.,"['A flag design for a fictional country with bananas depicted on it.', 'A mural in a public space featuring bananas to represent the local republic governance.', 'Carnival float styled to look like a banana republic, complete with banana-shaped ornaments.', ""Children's drawing of a banana republic, with buildings shaped like bananas."", 'A toy set depicting a miniature banana republic with banana trees and banana-shaped monuments.']",Artistic depictions of a republic symbolized by bananas.,Visual representations of a republic characterized by bananas.,"Both captions reflect the literal meaning of the phrase. However, the second caption is more concise and fits all the image ideas better as it does not limit the context to only artistic representations.",Visual representations of a republic characterized by bananas.
devil's advocate,"Literally, this refers to one representing or supporting the devil's viewpoint for the sake of argument.",Someone articulating the devil's perspective.,"[""A debating contest where one participant sticks to the devil's viewpoint."", 'A comical sketch showing a person debating with a figure depicted as the devil.', ""A mock court-room scene where the defense lawyer is titled as 'devil's advocate'."", ""A comic strip where one character is defined as the 'devil's advocate' in a group discussion."", ""A movie poster for a plot revolving around a character who always plays the role of a 'devil's advocate'.""]",Articulating the devil's viewpoint in various settings.,Engaging in debates and discussions as the devil's advocate.,"Both descriptions accurately represent the literal meaning. The second caption, however, applies to a broader range of scenes, encompassing the notion of 'devil's advocate' in debates, discussions, and various other settings.",Engaging in debates and discussions as the devil's advocate.
private eye,"Literally, this refers to an eye that is private, often used symbolically or artistically to represent surveillance or secretive observation.",An eye depicted as secretive or hidden for purposes of surveillance.,"['A painting featuring an eye watching from behind a private curtain.', 'A graffiti on a wall of an eye peeking through a keyhole.', 'An emblem design for a private detective agency with an eye symbol.', 'A scene in a movie where a spy is observing through a private eye-shaped camera.', 'A comic strip illustrating a private detective using a telescope (symbolic private eye) to watch from a distance.']",Visuals emphasizing secretive observation symbolized by an eye.,An eye depicted as private for the purpose of surveillance.,"Although both captions fit the literal interpretation, the second one aligns more directly with the literal meaning of the phrase, being succinct and applicable to each visual scenario.",An eye depicted as private for the purpose of surveillance.
