base_model,model,experiment,top1_accuracy,average_spearman,average_weighted_accuracy
CLIP,ViT-B/32,Baseline (Sentences),0.45714285714285713,0.1228571428571428,0.3499999999999999
CLIP,ViT-L/14,Baseline (Sentences),0.4714285714285714,0.14857142857142855,0.3585714285714284
CLIP,RN50x64,Baseline (Sentences),0.5,0.1757142857142857,0.3699999999999999
Align,Base,Baseline (Sentences),0.4857142857142857,0.14857142857142844,0.3857142857142856
open_clip,ViT-B-32,Baseline (Sentences),0.44285714285714284,0.16999999999999998,0.3485714285714285
CLIP,ViT-B/32,NC-Only,0.38571428571428573,0.11857142857142851,0.3228571428571428
CLIP,ViT-L/14,NC-Only,0.35714285714285715,0.07428571428571426,0.2771428571428571
CLIP,RN50x64,NC-Only,0.4,0.08714285714285715,0.30285714285714277
Align,Base,NC-Only,0.37142857142857144,0.15142857142857144,0.31142857142857133
open_clip,ViT-B-32,NC-Only,0.37142857142857144,0.1571428571428571,0.3042857142857142
CLIP,ViT-B/32,GPT Prompt 1,0.6,0.17999999999999997,0.4385714285714284
CLIP,ViT-L/14,GPT Prompt 1,0.6285714285714286,0.21857142857142853,0.4499999999999999
CLIP,RN50x64,GPT Prompt 1,0.6428571428571429,0.22999999999999998,0.46285714285714263
Align,Base,GPT Prompt 1,0.6428571428571429,0.2057142857142857,0.49285714285714266
open_clip,ViT-B-32,GPT Prompt 1,0.6428571428571429,0.21571428571428564,0.4757142857142855
CLIP,ViT-B/32,GPT Prompt 2,0.5714285714285714,0.11999999999999988,0.43142857142857133
CLIP,ViT-L/14,GPT Prompt 2,0.6142857142857143,0.1957142857142857,0.44999999999999984
CLIP,RN50x64,GPT Prompt 2,0.6857142857142857,0.2557142857142856,0.4985714285714282
Align,Base,GPT Prompt 2,0.6857142857142857,0.20571428571428574,0.5157142857142857
open_clip,ViT-B-32,GPT Prompt 2,0.7,0.21857142857142847,0.5028571428571427
CLIP,ViT-B/32,GPT Prompt 3,0.5714285714285714,0.16285714285714287,0.4
CLIP,ViT-L/14,GPT Prompt 3,0.6,0.23571428571428577,0.45999999999999985
CLIP,RN50x64,GPT Prompt 3,0.6,0.29,0.46285714285714286
Align,Base,GPT Prompt 3,0.6142857142857143,0.18571428571428575,0.457142857142857
open_clip,ViT-B-32,GPT Prompt 3,0.6285714285714286,0.21714285714285708,0.4585714285714284
CLIP,ViT-B/32,GPT Prompt 3 with nc for literal,0.37142857142857144,0.10142857142857138,0.28285714285714286
CLIP,ViT-L/14,GPT Prompt 3 with nc for literal,0.32857142857142857,0.11857142857142863,0.26857142857142846
CLIP,RN50x64,GPT Prompt 3 with nc for literal,0.34285714285714286,0.12857142857142856,0.2742857142857143
Align,Base,GPT Prompt 3 with nc for literal,0.3142857142857143,0.1757142857142857,0.2814285714285714
open_clip,ViT-B-32,GPT Prompt 3 with nc for literal,0.32857142857142857,0.16999999999999996,0.27714285714285714
CLIP,ViT-B/32,GPT Prompt 3 with sentence for literal,0.37142857142857144,0.10142857142857138,0.28285714285714286
CLIP,ViT-L/14,GPT Prompt 3 with sentence for literal,0.32857142857142857,0.11857142857142863,0.26857142857142846
CLIP,RN50x64,GPT Prompt 3 with sentence for literal,0.34285714285714286,0.12857142857142856,0.2742857142857143
Align,Base,GPT Prompt 3 with sentence for literal,0.3142857142857143,0.1757142857142857,0.2814285714285714
open_clip,ViT-B-32,GPT Prompt 3 with sentence for literal,0.32857142857142857,0.16999999999999996,0.27714285714285714
CLIP,ViT-B/32,GPT Prompt 4 with sentence if predicted literal,0.5571428571428572,0.20428571428571426,0.41
CLIP,ViT-L/14,GPT Prompt 4 with sentence if predicted literal,0.6571428571428571,0.2842857142857143,0.5099999999999999
CLIP,RN50x64,GPT Prompt 4 with sentence if predicted literal,0.6142857142857143,0.23714285714285707,0.4357142857142856
Align,Base,GPT Prompt 4 with sentence if predicted literal,0.6714285714285714,0.23428571428571426,0.48857142857142843
open_clip,ViT-B-32,GPT Prompt 4 with sentence if predicted literal,0.6142857142857143,0.2214285714285714,0.42857142857142844
